date,symbol,close
2025-07-17 00:00:00+00:00,0P0000RU81.L,7.075699806213379
2025-07-18 00:00:00+00:00,0P0000RU81.L,7.061800003051758
2025-07-21 00:00:00+00:00,0P0000RU81.L,7.037899971008301
2025-07-22 00:00:00+00:00,0P0000RU81.L,7.026000022888184
2025-07-23 00:00:00+00:00,0P0000RU81.L,7.0406999588012695
2025-07-24 00:00:00+00:00,0P0000RU81.L,7.078199863433838
2025-07-25 00:00:00+00:00,0P0000RU81.L,7.119200229644775
2025-07-28 00:00:00+00:00,0P0000RU81.L,7.193600177764893
2025-07-29 00:00:00+00:00,0P0000RU81.L,7.187399864196777
2025-07-30 00:00:00+00:00,0P0000RU81.L,7.0995001792907715
2025-07-31 00:00:00+00:00,0P0000RU81.L,7.245699882507324
2025-08-01 00:00:00+00:00,0P0000RU81.L,7.045000076293945
2025-08-04 00:00:00+00:00,0P0000RU81.L,7.011499881744385
2025-08-05 00:00:00+00:00,0P0000RU81.L,7.129899978637695
2025-08-06 00:00:00+00:00,0P0000RU81.L,7.045499801635742
2025-08-07 00:00:00+00:00,0P0000RU81.L,7.034999847412109
2025-08-08 00:00:00+00:00,0P0000RU81.L,6.987400054931641
2025-08-11 00:00:00+00:00,0P0000RU81.L,7.0081000328063965
2025-08-12 00:00:00+00:00,0P0000RU81.L,6.962399959564209
2025-08-13 00:00:00+00:00,0P0000RU81.L,7.013199806213379
2025-08-14 00:00:00+00:00,0P0000RU81.L,7.040500164031982
2025-08-15 00:00:00+00:00,0P0000RU81.L,7.042799949645996
2025-08-18 00:00:00+00:00,0P0000RU81.L,7.062399864196777
2025-08-19 00:00:00+00:00,0P0000RU81.L,7.064199924468994
2025-08-20 00:00:00+00:00,0P0000RU81.L,7.10099983215332
2025-08-21 00:00:00+00:00,0P0000RU81.L,7.116199970245361
2025-08-22 00:00:00+00:00,0P0000RU81.L,7.135900020599365
2025-08-26 00:00:00+00:00,0P0000RU81.L,7.122799873352051
2025-08-27 00:00:00+00:00,0P0000RU81.L,7.142600059509277
2025-08-28 00:00:00+00:00,0P0000RU81.L,7.124100208282471
2025-08-29 00:00:00+00:00,0P0000RU81.L,7.139100074768066
2025-09-01 00:00:00+00:00,0P0000RU81.L,7.133800029754639
